,PulserDAC,Counts
0,1476.098171582747,0.0
1,1535.8731039888573,0.0
2,1595.6480363949681,0.0
3,1655.4229688010792,0.0
4,1715.1979012071895,0.0
5,1774.9728336133003,0.0
6,1834.7477660194113,0.0
7,1894.522698425522,0.0
8,1954.2976308316327,0.0
9,2014.0725632377435,0.0
10,2073.847495643854,0.0
11,2133.6224280499646,0.0
12,2193.3973604560756,0.0
13,2253.172292862186,0.0
14,2312.947225268297,0.0
15,2372.722157674408,1.0
16,2432.497090080519,2.0
17,2492.272022486629,2.0
18,2552.04695489274,6.0
19,2611.8218872988505,7.0
20,2671.5968197049615,17.0
21,2731.371752111072,33.0
22,2791.146684517183,61.0
23,2850.9216169232936,89.0
24,2910.6965493294038,141.0
25,2970.471481735515,206.0
26,3030.246414141626,279.0
27,3090.021346547737,470.0
28,3149.7962789538474,582.0
29,3209.571211359958,770.0
30,3269.3461437660685,1011.0
31,3329.1210761721786,1169.0
32,3388.89600857829,1356.0
33,3448.6709409844007,1510.0
34,3508.4458733905117,1730.0
35,3568.2208057966222,1837.0
36,3627.995738202733,1815.0
37,3687.770670608844,1827.0
38,3747.5456030149544,1838.0
39,3807.320535421065,1721.0
40,3867.095467827176,1556.0
41,3926.8704002332865,1366.0
42,3986.645332639397,1193.0
43,4046.420265045508,963.0
44,4106.195197451619,809.0
45,4165.97012985773,672.0
46,4225.74506226384,506.0
47,4285.519994669951,393.0
48,4345.294927076062,303.0
49,4405.069859482172,176.0
50,4464.844791888283,133.0
51,4524.6197242943945,104.0
52,4584.394656700505,53.0
53,4644.169589106615,43.0
54,4703.944521512726,40.0
55,4763.719453918837,27.0
56,4823.494386324947,19.0
57,4883.269318731058,7.0
58,4943.044251137169,10.0
59,5002.819183543281,4.0
60,5062.59411594939,0.0
61,5122.369048355501,0.0
62,5182.1439807616125,3.0
63,5241.918913167722,1.0
64,5301.693845573833,0.0
65,5361.468777979944,0.0
66,5421.243710386056,0.0
67,5481.018642792164,0.0
68,5540.793575198276,0.0
69,5600.568507604387,0.0
70,5660.343440010498,0.0
71,5720.118372416608,0.0
72,5779.893304822719,0.0
73,5839.66823722883,1.0
74,5899.443169634939,0.0
75,5959.218102041052,0.0
76,6018.993034447162,0.0
77,6078.767966853273,0.0
78,6138.5428992593825,0.0
79,6198.317831665494,0.0
80,6258.092764071605,1.0
81,6317.867696477714,0.0
82,6377.642628883827,0.0
83,6437.417561289937,0.0
84,6497.1924936960495,0.0
85,6556.967426102158,0.0
86,6616.74235850827,0.0
87,6676.517290914381,0.0
88,6736.292223320489,0.0
89,6796.067155726601,0.0
90,6855.842088132712,0.0
91,6915.617020538824,0.0
92,6975.391952944933,0.0
93,7035.166885351045,0.0
94,7094.941817757156,0.0
95,7154.716750163265,0.0
96,7214.491682569376,0.0
97,7274.266614975487,0.0
98,7334.041547381599,0.0
